Unnamed: 0,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y,grid_distance,sensor_position,sensor_height
371,0.003045,33464,2096.456032777068,10483.926682443716,,,,,,,,,,,,,
372,0.003053,23429,-8773.92809661576,9468.736042760347,,,,,,,,,,,,,
373,0.003061,38329,7065.342004475914,8525.588062377772,,,,,,,,,,,,,
374,0.003069,31895,1.6396007150317526,7641.358166573932,,,,,,,,,,,,,
375,0.003078,25862,-5615.512563311854,6787.163517181528,,,,,,,,,,,,,
376,0.003086,37017,5573.700732018055,5987.981737569467,,,,,,,,,,,,,
377,0.003094,31063,-1180.5385828320204,5252.537326986854,,,,,,,,,,,,,
378,0.003102,27958,-3071.652626851009,4571.182685870653,,,,,,,,,,,,,
379,0.00311,35496,3937.3241728165767,3963.797172992721,,,,,,,,,,,,,
380,0.003119,30375,-1699.536770702491,3414.6211306551254,,,,,,,,,,,,,
381,0.003127,30119,-1098.372514677793,2909.4415468571437,,,,,,,,,,,,,
382,0.003135,34152,2367.3225335325733,2483.0543668158834,,,,,,,,,,,,,
383,0.003143,29719,-1833.1965581706093,2142.527369735514,,,,,,,,,,,,,
384,0.003151,32023,398.8421299089006,1909.6529361182088,,,,,,,,,,,,,
385,0.00316,32920,1012.6187551799532,1815.917358500206,,,,,,,,,,,,,
386,0.003168,29335,-1802.3263926472637,1827.414183846412,,,,,,,,,,,,,
387,0.003176,33256,1510.7258249811994,1925.325775202836,,,,,,,,,,,,,
388,0.003184,31671,-51.76508503815015,2075.7615783895776,,,,,,,,,,,,,
389,0.003193,29975,-1731.025363234251,2227.0404939788573,,,,,,,,,,,,,
390,0.003201,33960,2299.397782665023,2382.826444283786,,,,,,,,,,,,,
391,0.003209,30743,-815.893112507391,2536.5887147757157,,,,,,,,,,,,,
392,0.003217,29927,-1654.2326757771848,2675.314394659081,,,,,,,,,,,,,
393,0.003225,34488,2798.45827901865,2811.5149597754885,,,,,,,,,,,,,
394,0.003234,30343,-1312.2288472758105,2923.477235499728,,,,,,,,,,,,,
395,0.003242,30023,-1553.0891316290324,2989.1264352201115,,,,,,,,,,,,,
396,0.00325,34744,3027.108904851531,3027.19539172776,,,,,,,,,,,,,
397,0.003258,30087,-1590.85566481612,3039.42947666329,,,,,,,,,,,,,
398,0.003266,30103,-1395.4776760900254,3028.5389169871783,,,,,,,,,,,,,
399,0.003275,34632,3007.2643645946973,3013.5613613674127,,,,,,,,,,,,,
400,0.003283,29863,-1701.337805820487,2975.742516771269,,,,,,,,,,,,,
401,0.003291,30551,-1164.9720024812627,2898.7174794981947,,,,,,,,,,,,,
402,0.003299,34392,2775.2274936893245,2800.992989990424,,,,,,,,,,,,,
403,0.003307,29911,-1685.1023814772404,2683.976726666358,,,,,,,,,,,,,
404,0.003316,30727,-870.9607828477294,2554.7302701256235,,,,,,,,,,,,,
405,0.003324,34072,2384.8782438326275,2433.9503550354107,,,,,,,,,,,,,
406,0.003332,29831,-1577.1096925294382,2304.6494705799523,,,,,,,,,,,,,
407,0.00334,31175,-543.1992610757428,2154.4960790625555,,,,,,,,,,,,,
408,0.003348,33656,1903.5756505122351,2000.0275507270103,,,,,,,,,,,,,
409,0.003357,30023,-1410.57784857373,1839.6765795224917,,,,,,,,,,,,,
410,0.003365,31447,-219.8406914560297,1683.31895868773,,,,,,,,,,,,,
411,0.003373,32711,1402.5381069792668,1551.6119627553,,,,,,,,,,,,,
412,0.003381,30743,-1217.8234500394035,1427.818975164841,,,,,,,,,,,,,
413,0.003389,31751,63.80507386351778,1303.8058355299156,,,,,,,,,,,,,
414,0.003398,32407,943.5924272082074,1190.374814595076,,,,,,,,,,,,,
415,0.003406,30503,-1025.8930904415313,1078.4150038692617,,,,,,,,,,,,,
416,0.003414,31927,283.3977105136611,979.728527432678,,,,,,,,,,,,,
417,0.003422,32167,566.9777460461546,910.668521738289,,,,,,,,,,,,,
418,0.003431,30967,-851.929884679876,853.7375720808523,,,,,,,,,,,,,
419,0.003439,31639,429.8349077693632,806.454801702915,,,,,,,,,,,,,
420,0.003447,32023,286.6740967257984,768.2123754909027,,,,,,,,,,,,,
421,0.003455,30983,-702.7970153267137,722.1808504388946,,,,,,,,,,,,,
422,0.003463,32199,508.4698988651686,682.1823352567926,,,,,,,,,,,,,
423,0.003472,31959,95.31693795462829,657.6421941243011,,,,,,,,,,,,,
424,0.00348,30679,-578.5554885625368,636.9435224012446,,,,,,,,,,,,,
425,0.003488,32231,534.0888593584615,625.0561915424383,,,,,,,,,,,,,
426,0.003496,31687,-25.57266257121154,613.9448000831215,,,,,,,,,,,,,
427,0.003504,31079,-476.8050954791972,587.9990510348646,,,,,,,,,,,,,
428,0.003513,32423,524.5219315270614,562.2697403016696,,,,,,,,,,,,,
429,0.003521,31287,-96.13770057796602,542.7790134704447,,,,,,,,,,,,,
430,0.003529,31399,-395.01764421250977,525.0623538595121,,,,,,,,,,,,,
431,0.003537,31991,495.6057956203142,517.644430800188,,,,,,,,,,,,,
432,0.003545,31399,-133.6671745949711,510.0230894323772,,,,,,,,,,,,,
433,0.003554,31511,-330.33985935614834,488.7137877601336,,,,,,,,,,,,,
434,0.003562,31991,459.619241878409,467.34407846693296,,,,,,,,,,,,,
435,0.00357,31463,-152.6500323061503,449.7501451404329,,,,,,,,,,,,,
436,0.003578,31303,-279.8929869620725,434.9012203219616,,,,,,,,,,,,,
437,0.003586,32135,427.0249235090425,432.179167488361,,,,,,,,,,,,,
438,0.003595,31559,-164.5314345236172,430.7809782946665,,,,,,,,,,,,,
439,0.003603,31287,-244.1715668198681,418.9845247347137,,,,,,,,,,,,,
440,0.003611,31991,407.5803378733735,408.5802312401233,,,,,,,,,,,,,
441,0.003619,31575,-173.19297231673866,401.7222177787736,,,,,,,,,,,,,
442,0.003627,31255,-230.73662188651264,398.7781638182512,,,,,,,,,,,,,
443,0.003636,32039,406.3787084234343,408.3465989913592,,,,,,,,,,,,,
444,0.003644,31543,-169.0115692642416,419.2696594037676,,,,,,,,,,,,,
445,0.003652,31367,-251.64975600004465,420.0750949055901,,,,,,,,,,,,,
446,0.00366,32007,416.0356454008927,420.40962031776655,,,,,,,,,,,,,
447,0.003669,31223,-129.84055910476022,423.24961581123927,,,,,,,,,,,,,
448,0.003677,31415,-312.5962261496452,428.735804190271,,,,,,,,,,,,,
449,0.003685,32087,413.0729118644113,442.6539979454749,,,,,,,,,,,,,
450,0.003693,31559,-33.52903365948733,455.8451055923604,,,,,,,,,,,,,
451,0.003701,31239,-401.1101824425039,458.0971403185515,,,,,,,,,,,,,
452,0.00371,31783,365.9154048897837,460.5243161575689,,,,,,,,,,,,,
453,0.003718,31847,124.14220779895624,471.9297702043007,,,,,,,,,,,,,
454,0.003726,31223,-485.1552336278893,488.4999733131514,,,,,,,,,,,,,
455,0.003734,32007,252.7730382030182,508.9104619622102,,,,,,,,,,,,,
456,0.003742,31783,319.1943721449096,529.4347707985968,,,,,,,,,,,,,
457,0.003751,30983,-526.6566344961291,544.0583993271101,,,,,,,,,,,,,
458,0.003759,31783,78.3925098108531,561.4806660243629,,,,,,,,,,,,,
459,0.003767,32119,506.4841847886534,589.9143738474586,,,,,,,,,,,,,
460,0.003775,30919,-503.18799989914345,619.4579998381964,,,,,,,,,,,,,
461,0.003783,31463,-123.29729422115314,642.5770873912987,,,,,,,,,,,,,
462,0.003792,32407,642.6663032598916,662.1150766600614,,,,,,,,,,,,,
463,0.0038,31191,-422.8320216484039,677.5089018124962,,,,,,,,,,,,,
464,0.003808,31207,-306.5594968119277,691.9969927544207,,,,,,,,,,,,,
465,0.003816,32423,711.2347944375379,711.2559025566413,,,,,,,,,,,,,
466,0.003824,31431,-318.58618683914733,727.8471161600049,,,,,,,,,,,,,
467,0.003833,31063,-442.7640631303656,735.5950451107647,,,,,,,,,,,,,
468,0.003841,32327,730.8218056340861,741.4598115234146,,,,,,,,,,,,,
469,0.003849,31463,-222.77799605874185,748.7882090965752,,,,,,,,,,,,,
470,0.003857,31095,-540.6553377812104,758.5902751824553,,,,,,,,,,,,,
471,0.003865,32039,738.597778644022,775.4113202266792,,,,,,,,,,,,,
472,0.003874,31399,-139.2873234447333,795.1526712905419,,,,,,,,,,,,,
473,0.003882,31223,-641.8944057290272,813.2061196863236,,,,,,,,,,,,,
474,0.00389,32391,760.3559695910258,836.2450916561933,,,,,,,,,,,,,
475,0.003898,31495,-34.99094543553477,868.0300818582223,,,,,,,,,,,,,
476,0.003907,30631,-794.2733458900092,907.6405746555828,,,,,,,,,,,,,
477,0.003915,32551,789.3477277759401,957.0553747992178,,,,,,,,,,,,,
478,0.003923,31847,142.6371115731879,1013.3907143162684,,,,,,,,,,,,,
479,0.003931,30407,-1020.6644820157924,1072.7621724131438,,,,,,,,,,,,,
480,0.003939,32215,787.6162506385562,1140.1716455221724,,,,,,,,,,,,,
481,0.003948,32151,433.1238167876057,1218.8827622803665,,,,,,,,,,,,,
482,0.003956,30535,-1301.2555058073883,1305.594271949357,,,,,,,,,,,,,
483,0.003964,32423,706.9483933534028,1398.6415653037034,,,,,,,,,,,,,
484,0.003972,32183,833.5632148277781,1495.420878413321,,,,,,,,,,,,,
485,0.00398,29911,-1575.9196422388525,1591.732892721221,,,,,,,,,,,,,
486,0.003989,32343,517.2889272826865,1688.396303241081,,,,,,,,,,,,,
487,0.003997,32872,1286.113731241055,1785.268264701394,,,,,,,,,,,,,
488,0.004005,29815,-1765.266310170736,1876.349160673617,,,,,,,,,,,,,
489,0.004013,31927,228.87623947504665,1957.1606384209624,,,,,,,,,,,,,
490,0.004021,33224,1690.4855328914143,2025.1499598358496,,,,,,,,,,,,,
491,0.00403,30039,-1802.450787622513,2076.799117330683,,,,,,,,,,,,,
492,0.004038,31111,-104.1792680589219,2111.1021580231823,,,,,,,,,,,,,
